School,other_names,State,join_id,operation_dates,religions_identified,tribes_identified,deaths_documented_by_post,deaths_documented_by_govt,grave_sites_found_by_post,grave_sites_found_by_govt
Chemawa Indian Training School,"Salem Indian School; United States Indian Training and Normal School; Salem Indian
Industrial and Training School; Harrison Institute; Chemawa Indian School*",OR,352,1880 - Open,,"Alaskan; Aleut, Unangan; Alsea Yaquina from Siletz; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Bannock, Northern Paiute; Blackfeet, Blackfoot; Cayuse, Liksiyu; Chehalis; Chelan from Colville; Cherokee; Cheyenne; Cheyenne RiverSioux; Chippewa; Chippewa from Rocky Boys, Montana; Coeur D'Alene; Colville; Colville from Colville; Coos; Coquille, Ko-Kwel; Cowlitz; Cree; Creek, Muscogee, Mvskoke; Crow Creek Sioux; Crow, Absaroka; Digger Indian; Eskimo; Flathead Indians; Grand Ronde Tribes, Oregon; Gros Ventre, Aaniiih; Haida; Hupa, Hoopa; Kalispel; Karuk; Klamath; Klikitat; Leech Lake Band Chippewa, Minnesota; Little Lake; Lower Chinook from Siletz; Lummi; Makah, Ozette Makah; Modoc from Klamath, Oregon; Muckleshoot; Navajo, Navaho, Dine; Nez Perce, Idaho; Nisqually, Nisqualli; Nooksack; Northern Paiute from Warm Springs; Oneida; Paiute, Pi-Ute; Piegan, Peigan, Pikuni, Piikuni; Pit River; Pomo; Puyallup; Quileute; Quinault, Quinaielt; Redwood Valley, Pomo; Rogue River Indians; Rosebud Sioux; Samish; Shasta; Shoshone, Shoshoni, Snake; Sioux; Sisseton Wahpeton Oyate Sioux; Skagit; S'klallam, Klallam, Clallam; Skokomish; Snohomish; Snoqualmie; Spokane; Spokane from Coeur d'Alene; Standing Rock Sioux; Steilacoom; Suquamish; Swinomish; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Tilamook, Nekelim, Siletz; Tlingit, Tlinkit; Tolowa Dee-ni', Smith River; Tsimshian; Tulalip; Turtle Mountain Band of Chippewa; Umatilla; Umpqua; Ute; Walla Walla, Wallawalla; Wasco, Wishram; Washoe, Washo; White Earth Band Chippewa; Wintun, Wintoon; Yakama, Yakima",268,53,,1 onsite
Carlisle Indian Industrial School,Carlisle Training School,PA,360,1879 - 1918,,"Alaskan; Aleut, Unangan; Apache; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Bannock, Northern Paiute; Blackfeet, Blackfoot; Caddo; Catawba, Issa, Essa, Iswa; Cayuga; Cayuse, Liksiyu; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Chiricahua Apache; Chitimacha; Choctaw; Coeur D'Alene; Colville; Comanche; Creek, Muscogee, Mvskoke; Crow, Absaroka; Delaware, Lenni Lenape; Digger Indian; Eastern Cherokee, North Carolina; Eskimo; Flathead Indians; Fort Sill Apache; Gros Ventre, Aaniiih; Haudenosaunee, Iroquois Confederacy, Six Nations; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Hupa, Hoopa; Iowa, Ioway, Bah-Kho-Je, Baxoje; Kaibab Band of Paiute; Keres, Queres Pueblo; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Klamath; Kootenai, Ktunaxa, Kutenai, Kootenay, Ksanka; Lipan Apache; Lower Brule Sioux; Luiseno; Lummi; Mandan, Mantannes, Mayadana; Mashpee Wampanoag; Menominee, Menomini, Mamaceqtaw; Miami; Michigan Chippewa; Minnesota Chippewa; Mission Indians, California; Modoc; Mohawk, Kanien'keha:ka; Mooretown; Morongo Band of Mission Indians; Munsee, Muncee, Minsi; Narragansett; Navajo, Navaho, Dine; Nez Perce; Nez Perce, Idaho; Nooksack; Northern Arapaho from Wind River, Wyoming; Oglala Sioux from Pine Ridge; Okanagan from Colville; Omaha; Oneida; Oneida, Wisconsin; Onondaga; Osage; Ottawa, Odawa, Odaawaa; Paiute, Pi-Ute; Pamunkey; Pawnee; Pend d'Oreille, Upper Kalispel; Penobscot, Maine; Peoria; Piegan, Peigan, Pikuni, Piikuni; Pima; Pit River; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Pueblo of Acoma, Haak'u; Pueblo of Cochiti, KO-TYIT; Pueblo of Laguna, Ka'waika; Pueblo of Zuni, Ashiwi; Puyallup; Quapaw; Sac and Fox; Sac and Fox of Oklahoma; Saint Regis, St Regis Band of Mohawk; San Carlos Apache; San Poil from Colville; Seminole; Seneca; Seneca-Cayuga Nation, Oklahoma; Shawnee; Shoshone, Shoshoni, Snake; Sioux; Sisseton Wahpeton Oyate Sioux; S'klallam, Klallam, Clallam; Spokane; Stockbridge-Munsee, Stockbridge Mohican; Tlingit, Tlinkit; Tonawanda Band of Seneca; Tonto Apache; Tuscarora; Umatilla; Umpqua; Ute; Wabanaki, Wabenaki, Wobanaki; Warm Springs Apache, Chihennes; Washoe, Washo; Wichita, Kitikiti'sh; Wyandot, Wyandotte; Yakama, Yakima; Yankton Sioux, Yanktonai",232,189,4 offsite,1 onsite
Haskell Indian Industrial Training School,"United States Indian Industrial Training School; Haskell Junior College; Haskell Institute;
Haskell Indian Nations University*",KS,128,1884 - Open,,"Apache; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Bannock, Northern Paiute; Blackfeet, Blackfoot; Bois Forte Band Chippewa, Nett Lake, Minnesota; Caddo; Catawba, Issa, Essa, Iswa; Cayuga; Cayuse, Liksiyu; Cherokee; Cherokee of Oklahoma, Cherokee Nation; Cheyenne; Cheyenne River Sioux; Chickasaw, Chikashsha; Chippewa; Choctaw; Choctaw of Oklahoma, Choctaw Nation; Colville from Colville; Comanche; Creek, Muscogee, Mvskoke; Crow Creek Sioux; Crow, Absaroka; Delaware, Lenni Lenape; Digger Indian; Eastern Cherokee, North Carolina; Flandreau Santee Sioux; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Havasupai, Yava Supai; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Wisconsin; Hopi, Moqui Pueblo; Hualapai; Hupa, Hoopa; Iowa, Ioway, Bah-Kho-Je, Baxoje; Kaw, Kansa, Kanza, Kanzas, Kansas; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Klamath; Leech Lake Band Chippewa, Minnesota; Lummi; Maricopa; Menominee, Menomini, Mamaceqtaw; Mission Indians, California; Mississippi Band of Choctaw; Mohave, Mojave; Mohawk, Kanien'keha:ka; Muckleshoot; Munsee, Muncee, Minsi; Navajo, Navaho, Dine; Nez Perce, Idaho; Nisqually, Nisqualli; Okanagan from Colville; Omaha; Oneida; Osage; Otoe; Ottawa, Odawa, Odaawaa; Paiute, Pi-Ute; Pawnee; Peoria; Piegan, Peigan, Pikuni, Piikuni; Pima; Pomo; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Pueblo of Zuni, Ashiwi; Puyallup; Quapaw; Quechan, Yuma; Rogue River Indians; Sac and Fox; Seminole; Seneca; Shawnee; Shoshone, Shoshoni, Snake; Sioux; Snohomish; Stockbridge- Munsee, Stockbridge Mohican; Tohono O'odham, Papago; Tonkawa, Oklahoma; Turtle Mountain Band of Chippewa; Umatilla; Ute; Wabanaki, Wabenaki, Wobanaki; Washoe, Washo; White Earth Band Chippewa; Wichita, Kitikiti'sh; Wyandot, Wyandotte; Yakama, Yakima; Yuchi, Euchee",146,23,,2 onsite
Fort Hall Boarding School,Lincoln Creek Boarding School,ID,110,1874 - 1936,,"Assiniboine; Bannock, Northern Paiute; Chippewa; Chippewa from Rocky Boys, Montana; Cree from Rocky Boys, Montana; Crow Creek Sioux; Mohave, Mojave; Paiute Shoshone; Paiute, Pi-Ute; Piegan, Peigan, Pikuni, Piikuni; Pueblo; Rosebud Sioux; Shoshone Bannock; Shoshone, Shoshoni, Snake; Shoshone, Te-Moak, Wells Colony; Sioux",110,15,1 offsite,
Sherman Institute,Riverside School; Sherman Indian High School*; Harwood Hall,CA,78,1902 - Open,,"Alaskan; Apache; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Atsugewi, Hat Creek; Bannock, Northern Paiute; Blue Lake Rancheria of the Wiyot, Yurok, Hupa; Cachil DeHe Band of Wintun Indians, Colusa; Cahto, Kato; Cayuse, Liksiyu; Chemehuevi from Colorado River; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Choctaw; Choctaw of Oklahoma, Choctaw Nation; Chukchansi; Chumash; Cocopah, Kwapa; Colville; Comanche; Creek, Muscogee, Mvskoke; Crow Creek Sioux; Crow, Absaroka; Digger Indian; Eel River, Lassik, Wailaki; Flathead Indians; Fort Bidwell Paiute; Fort Sill Apache; Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Havasupai, Yava Supai; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Hualapai; Hupa, Hoopa; Karuk; Kashia, Stewarts Point, Pomo; Klamath; Little Lake; Lummi; Makah, Ozette Makah; Maricopa; Me-wuk, Miwok; Mission Indians, California; Modoc from Klamath, Oregon; Mohave from Colorado River; Mohave, Mojave; Mohawk, Kanien’keha:ka; Mono; Mooretown; Navajo, Navaho, Dine; Nez Perce, Idaho; Nisqually, Nisqualli; Oneida; Ottawa, Odawa, Odaawaa; Paiute Shoshone; Paiute, Pi-Ute; Pascua Yaqui; Patwin, Solano; Pawnee; Pima; Pit River; Pomo; Pueblo; Pueblo of Isleta, Tue-I; Pueblo of Laguna, Ka'waika; Pueblo of Zuni, Ashiwi; Quapaw; Quechan, Yuma; Quinault, Quinaielt; Redwood Valley, Pomo; Rosebud Sioux; Round Valley; Sac and Fox; San Carlos Apache; Santa Rosa Rancheria, Tachi Yokut; Seneca; Shasta; Shoshone, Shoshoni, Snake; Shoshone, Te-Moak, Elko Colony; Sioux; S'klallam, Klallam, Clallam; Southern Ute; Spokane; Standing Rock Sioux; Suquamish; Tejon; Tlingit, Tlinkit; Tohono O'odham, Papago; Tolowa Dee-ni', Smith River; Tubatulabal, Kern River Valley; Tule River; Tuolumne; Turtle Mountain Band of Chippewa; Umatilla; Ute; Ute Indian Tribe of the Uintah and Ouray; Walker River Paiute, Nevada; Wappo; Wasco, Wishram, Chinook from Warm Springs; Washoe, Washo; White Earth Band Chippewa; Wintun, Wintoon; Wukchumni, Yokuts; Yakama, Yakima; Yankton Sioux, Yanktonai; Yokut, Mariposan; Yukiah, Yuki, Ukiah; Yurok",100,28,,1 onsite
Mount Pleasant Indian Industrial Boarding School,"Michigan Indian Industrial Boarding School; Mount Pleasant Indian School; Mount Pleasant
Training",MI,140,1893 - 1934,,"Cherokee; Chippewa; Fond du Lac Band Chippewa, Minnesota; Haudenosaunee, Iroquois Confederacy, Six Nations; Menominee, Menomini, Mamaceqtaw; Oneida; Ottawa, Odawa, Odaawaa; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Seneca",96,1,1 offsite,"1 offsite, 1 onsite"
Albuquerque Indian School,"Indian Pueblo Training School; Fisk Institute; Fiske Institute; Albuquerque Industrial
Boarding School; Albuquerque Training School; Albuquerque Boarding School",NM,237,1882 - 1982,Presbyterian Board of Home Missions,"Apache; Chemehuevi, Chimehuevi Pauite; Cherokee; Chippewa; Choctaw; Comanche; Creek, Muscogee, Mvskoke; Flathead Indians; Havasupai, Yava Supai; Hopi, Moqui Pueblo; Klamath; Mescalero Apache; Mission Indians, California; Modoc; Mohave, Mojave; Navajo, Navaho, Dine; Oneida; Pima; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Pueblo of Acoma, Haak'u; Pueblo of Cochiti, KO-TYIT; Pueblo of Isleta, Tue-I; Pueblo of Jemez, Walatowa; Pueblo of Laguna, Ka'waika; Pueblo of San Felipe, Katishtya; Pueblo of San Juan, Ohkay Owingeh; Pueblo of Sandia, NA-FIAT; Pueblo of Santa Clara, Kah'p'oo Owinge; Pueblo of Santo Domingo; Pueblo of Taos, Tuah-Tah; Pueblo of Tesuque, TET-SUGEH; Pueblo of Zia, Tsi-ya; Pueblo of Zuni, Ashiwi; Quechan, Yuma; Sac and Fox; Seneca; Shawnee; Sioux; Southern Ute; Tohono O'odham, Papago; Ute",77,10,1 offsite,"1 offsite, 1 onsite"
Fort Defiance Boarding School,"Navajo Indian Boarding School; Navajo Agency Boarding School; Navajo Industrial School;
Navajo Training School; Navajo Agency School; Southern Navajo School",AZ,30,1881 - 1959,Christian Reformed Church; Presbyterian Board of Home Missions,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Paiute, Pi-Ute; Pueblo; Ramah Navajo",69,13,1 offsite,
Stewart Indian Boarding School,Stewart Institute; Carson School; Carson Industrial School,NV,201,1890 - 1980,,"Alaskan; Apache; Cahto, Kato; Cherokee; Chippewa; Chippewa from Rocky Boys, Montana; Chukchansi; Cowlitz; Cree from Rocky Boys, Montana; Digger Indian; Eel River, Lassik, Wailaki; Fallon Paiute Shoshone; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Hopi, Moqui Pueblo; Hupa, Hoopa; Klamath; Klikitat; Me-wuk, Miwok; Modoc from Klamath, Oregon; Molala, Molale, Molele, Molalie; Mono; Mooretown; Nez Perce, Idaho; Nooksack; Paiute from Warm Springs; Paiute Shoshone; Paiute, Pi-Ute; Pit River; Pomo; Pueblo; Pyramid Lake Paiute; Quartz Valley, Klamath, Karuk, Shasta; Round Valley; Shoshone Bannock; Shoshone, Shoshoni, Snake; Shoshone, Te-Moak, Elko Colony; Sioux; Sisseton Wahpeton Oyate Sioux; Snohomish; Tlingit, Tlinkit; Tule River; Umatilla; Ute; Walker River Paiute, Nevada; Washoe, Washo; Yukiah, Yuki, Ukiah; Yurok",58,21,,"1 offsite, 1 onsite"
Genoa Indian Industrial School,Genoa Manual Training; Genoa Day School; Grant Institute,NE,192,1884 - 1934,,"Cheyenne; Cheyenne River Sioux; Chippewa; Crow, Absaroka; Flandreau Santee Sioux; Ho-Chunk, Winnebago; Kickapoo, Kiikaapoa, Kiikaapoi; Leech Lake Band Chippewa, Minnesota; Lower Brule Sioux; Omaha; Osage; Ottawa, Odawa, Odaawaa; Piegan, Peigan, Pikuni, Piikuni; Ponca; Ponca of Nebraska; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Rosebud Sioux; Sac and Fox; Shoshone, Shoshoni, Snake; Sioux; White Earth Band Chippewa",54,16,,1 onsite
