school,join_id,cemetery_name,state,findagravelink,burial_site_finding,burial_site_on_campus
Woody Island Mission and Orphanage,4,,AK,,POST,TRUE
Woody Island Mission and Orphanage,4,,AK,,POST,FALSE
Anvik Mission,5,"Anvik Mission Cemetery: Anvik, AK",AK,https://www.findagrave.com/cemetery/2417565/anvik-cemetery,DOI,TRUE
Jesse Lee Home for Children - Seward,11,Jesse Lee Childrens Home Cemetery,AK,https://www.findagrave.com/cemetery/2294253/jesse-lee-childrens-home-cemetery,DOI,TRUE
St. Mark's Episcopal Mission School,15,Nenana North Cemetery,AK,https://www.findagrave.com/cemetery/2314079/nenana-north-cemetery,POST,FALSE
Jesse Lee Home for Children - Unalaska,24,Unalaska City Cemetery,AK,https://www.findagrave.com/cemetery/1985707/unalaska-city-cemetery,POST,FALSE
Mt. Edgecumbe Boarding School,25,Sitka Memorial Park,AK,https://www.findagrave.com/cemetery/2222374/sitka-memorial-park,POST,FALSE
Panguitch Boarding School,399,Panguitch Boarding School Cemetery,AK,https://www.findagrave.com/cemetery/77374/panguitch-city-cemetery,DOI,TRUE
St. Pius X Mission Home,436,Pioneer Cemetery,AK,https://www.findagrave.com/cemetery/2318700/pioneer-cemetery,POST,FALSE
Asbury Manual Labor School and Mission,1,Fort Mitchell National Cemetery,AL,https://www.findagrave.com/cemetery/109408/fort-mitchell-national-cemetery,DOI,TRUE
Wills Town Mission School,435,Willstown Mission Cemetery,AL,https://www.findagrave.com/cemetery/2283901/willstown-mission-cemetery,DOI,TRUE
Chinle Boarding School,27,Chinle Old Cemetery,AZ,https://www.findagrave.com/cemetery/56991/chinle-old-cemetery,POST,FALSE
Fort Defiance Boarding School,30,Navajo Veterans Cemetery,AZ,https://www.findagrave.com/cemetery/2150107/navajo-veterans-cemetery,POST,FALSE
Kayenta Indian School,47,Kayenta Communiy Cemetery,AZ,https://www.findagrave.com/cemetery/2134517/kayenta-community-cemetery,POST,FALSE
Tuba City Boarding School,61,Tuba City Community Cemetery,AZ,https://www.findagrave.com/cemetery/2156212/tuba-city-community-cemetery,POST,FALSE
Tuba City Boarding School,61,Tube City Original Cemetery,AZ,https://www.findagrave.com/cemetery/2664005/tube-city-original-cemetery,POST,FALSE
Rice Station Boarding and Day School,68,Rice Station Boarding School Cemetery,AZ,,DOI,TRUE
Rapid City Indian School,390,Rapid City Boarding School/School of the Hills Cemetery,AZ,,DOI,TRUE
Rapid City Indian School,390,Mountain View Cemetery,AZ,https://www.findagrave.com/cemetery/97276/mountain-view-cemetery,DOI,FALSE
Perris Indian School,77,,CA,,POST,TRUE
Sherman Institute,78,"Sherman Institute Cemetery: Riverside, CA",CA,https://www.findagrave.com/cemetery/1963481/sherman-institute-cemetery,DOI,TRUE
Fort Belknap Boarding and Day School,180,Agency Cemetery,CA,https://www.findagrave.com/cemetery/2665451/agency-cemetery,POST,FALSE
Fort Bidwell Indian Boarding School,83,Fort Bidwell Cemetery,CA,https://www.findagrave.com/cemetery/253437/fort-bidwell-cemetery,POST,FALSE
Round Valley Boarding School,87,Round Valley Reservation Headquarters Cemetery,CA,https://www.findagrave.com/cemetery/2194231/round-valley-reservation-headquarters-cemetery,DOI,FALSE
Fort Lewis Indian Boarding School,89,,CO,,POST,TRUE
St. Paul Mission and Boarding School,183,Saint Pauls Mission Cemetery,MT,https://www.findagrave.com/cemetery/2227622/saint-pauls-mission-cemetery,POST,TRUE
Grand Junction Indian School,92,"Teller Indian School Cemetery: Grand Junction, CO",CO,https://www.findagrave.com/cemetery/2463509/teller-indian-school-cemetery,DOI,TRUE
St. Augustine School for Apache Children at Fort Marian,94,St. Augustine National Cemetery,FL,https://www.findagrave.com/cemetery/109456/saint-augustine-national-cemetery,DOI,TRUE
St. Augustine School for Apache Children at Fort Marian,94,St. Augustine - North Beach unmarked,FL,,DOI,FALSE
Spring Place Mission School,96,Moravian Mission Cemetery,GA,https://www.findagrave.com/cemetery/2266431/moravian-mission-cemetery,DOI,TRUE
Hilo Boarding School,102,Homelani Memorial Park North,HI,https://www.findagrave.com/cemetery/103858/homelani-memorial-park,DOI,FALSE
Lahainaluna Seminary,105,Lahainaluna Mission Cemetery,HI,https://www.findagrave.com/cemetery/1988472/lahainaluna-mission-cemetery,DOI,TRUE
Fort Lapwai Training School,108,Lapwai Mission - Spalding Cemetery,ID,https://www.findagrave.com/cemetery/1981879/lapwai-mission-cemetery,POST,FALSE
Fort Lapwai Training School,108,George School Indian Cemetery,ID,https://www.findagrave.com/cemetery/2652559/george-school-indian-cemetery,POST,FALSE
Nez Perce Boarding School,109,Lapwai Mission - Spalding Cemetery,ID,https://www.findagrave.com/cemetery/1981879/lapwai-mission-cemetery,DOI,TRUE
Fort Hall Boarding School,110,Good Shepherd Cemetery,ID,https://www.findagrave.com/cemetery/80487/good-shepherd-cemetery,POST,FALSE
Mary Immaculate School at the Mission of the Sacred Heart of DeSmet,112,Sacred Heart Mission Cemetery,ID,https://www.findagrave.com/cemetery/2401250/sacred-heart-mission-cemetery,POST,TRUE
St. Joseph's Mission School,113,Slickpoo Cemetery,ID,https://www.findagrave.com/cemetery/2334795/slickpoo-cemetery,POST,TRUE
St. Mary's Training School for Boys,115,Saint Mary's Cemetery,IL,https://www.findagrave.com/cemetery/107987/saint-marys-cemetery,POST,TRUE
White Manual Labor Institute - Indiana,117,White's Institute Cemetery,IN,https://www.findagrave.com/cemetery/2242726/whites-institute-cemetery,POST,TRUE
Haskell Indian Industrial Training School,128,Haskell Indian Nations University Haskell Cemetery,KS,https://www.findagrave.com/cemetery/2143634/haskell-cemetery,DOI,TRUE
Haskell Indian Industrial Training School,128,Haskell Wetland Unmarked Burial Site,KS,,DOI,TRUE
Choctaw Indian Academy,135,Choctaw Indian Academy Unmarked Burial Site,KY,,DOI,TRUE
Mount Pleasant Indian Industrial Boarding School,140,Baseline Indian Cemetery,MI,https://www.findagrave.com/cemetery/790/baseline-indian-cemetery,DOI,FALSE
Mount Pleasant Indian Industrial Boarding School,140,Mission Creek Cemetery,MI,https://www.findagrave.com/cemetery/1085/mission-creek-cemetery,DOI,TRUE
Mount Pleasant Indian Industrial Boarding School,140,Calvary Cemetery,,https://www.findagrave.com/cemetery/215/calvary-cemetery,POST,FALSE
New L'Arbre Croche Mission School,141,Holy Childhood of Jesus Cemetery,MI,https://www.findagrave.com/cemetery/1982970/holy-childhood-of-jesus-cemetery,POST,FALSE
Ah-Gwah-Ching Sanatorium and School,142,"Evergreen Cemetery: Walker, MN",MN,https://www.findagrave.com/cemetery/82269/evergreen-cemetery,DOI,FALSE
St. Rose/St. Francis Xavier School,150,"St. Rose of Lima Cemetery: Avoca, MN",MN,https://www.findagrave.com/cemetery/83519/saint-rose-cemetery,DOI,FALSE
St. John's Indian Industrial School,155,"Saint John the Baptist Parish Cemetery
 / Saint Johns Parish Cemetery",MN,https://www.findagrave.com/cemetery/2368832/saint-john-the-baptist-parish-cemetery,POST,TRUE
St. Paul's Industrial School,157,"St. Malachy Cemetery: Clontarf, MN",MN,https://www.findagrave.com/cemetery/83392/saint-malachy-cemetery,DOI,FALSE
Vermilion Lake Indian School,158,Vermilion Reservation Cemetery,MN,https://www.findagrave.com/cemetery/2357808/vermilion-reservation-cemetery,POST,FALSE
Morris Industrial School for Indians,160,,MN,,POST,TRUE
Harmony Mission School,170,Harmony Mission Cemetery,MO,,DOI,TRUE
Bethel Mission School,163,Bethel Mission Cemetery,MS,,DOI,TRUE
Emmaus Mission School,167,Emmaus Mission Cemetery,MS,,DOI,TRUE
Martyn Mission School,168,"Martyn Mission Cemetery: Holly Springs, MS",MS,https://www.findagrave.com/cemetery/2565667/martyn-mission-cemetery,DOI,TRUE
