Overall_Tribe,Tribe,Total
Not Yet Identified,Total,238
Alaskan,Total,31
Alaskan,Alaskan,10
Alaskan,"Aleut, Unangan",6
Alaskan,Eskimo,10
Alaskan,"Tlingit, Tlinkit",5
Apache,Total,91
Apache,Apache,36
Apache,Chiricahua Apache,28
Apache,Jicarilla Apache,2
Apache,Lipan Apache,1
Apache,Mescalero Apache,3
Apache,San Carlos Apache,10
Apache,Tonto Apache,7
Apache,"Warm Springs Apache, Chilhennes",4
Apache,White Mountain Apache,4
Arapaho,Total,14
Arapaho,"Arapaho, Arapahoe",14
Blackfeet,Total,8
Blackfeet,"Blackfeet, Blackfoot",4
Blackfeet,"Piegan, Peigan, Pikuni, Piikuni",4
Caddo Confederacy,Total,1
Caddo,Caddo,1
Cheyenne,Total,15
Cheyenne,Cheyenne,15
"Cheyenne Arapaho, Oklahoma",Total,3
"Cheyenne Arapaho, Oklahoma","Southern Arapaho, Oklahoma",1
"Cheyenne Arapaho, Oklahoma",Southern Cheyenne-Oklahoma,2
Comanche,Total,3
Comanche,Comanche,3
Confederated Grand Ronde,Total,1
Confederated Grand Ronde,"Grand Ronde Tribes, Oregon",1
Confederated Umatilla,Total,1
Confederated Umatilla,"Cayuse, Liksiyu",1
Confederated Warm Springs,Total,3
Confederated Warm Springs,Northern Paiute from Warm Springs,3
Confederated Yakama,Total,2
Confederated Yakama,"Wasco, Wishram, Chinook from Yakama",1
Confederated Yakama,"Yakarna, Yakima",1
Crow,Total,4
Crow,"Crow, Absaroka",4
Five Tribes - Cherokee,Total,18
Five Tribes - Cherokee,Cherokee,13
Five Tribes - Cherokee,"Cherokee of Oklahoma, Cherokee Nation",2
Five Tribes - Cherokee,"Eastern Cherokee, North Carolina",4
Five Tribes - Chickasaw,Total,2
Five Tribes - Chickasaw,"Chickasaw, Chikashsha",2
Five Tribes - Choctaw,Total,38
Five Tribes - Choctaw,Choctaw,36
Five Tribes - Choctaw,"Choctaw of Oklahoma, Choctaw Nation",2
"Five Tribes - Creek, Muscogee, Seminole",Total,8
"Five T ribes - Creek, Muscogee, Seminole","Creek, Muscogee, Mvskoke",5
"Five T ribes - Creek, Muscogee, Seminole",Seminole,3
Gros Ventre,Total,8
Gros Ventre,"Gros Ventr, Aaniiih",8
"Ho-Chunk, Winnebago",Total,2
"Ho-Chunk, Winnebago","Ho-Chunk, Winnebago",2
Iowa,Total,1
Iowa,"Iow, Ioway, Bah-Kho-Je, Baxoje",1
Kickapoo,Total,2
Kickapoo,"Kickapoo, Kiikaapoa, Kiikaapoi",2
Kiowa,Total,4
Kiowa,Kiowa,4
"Klamath, Modoc, Yahooskin",Total,10
"Klamath, Modoc, Yahooskin",Klamath,9
"Klamath, Modoc, Yahooskin",Modoc,1
"Mandan, Hidatsa, Arikara",Total,19
"Mandan, Hidatsa, Arikara","Arikara. Arickaree, Arikaree",12
"Mandan, Hidatsa, Arikara","Hidatsa, Hiraaca",2
"Mandan, Hidatsa, Arikara","Mandan, Mantannes, Mayadana",6
Menominee,Total,2
Menominee,"Menominee, Menomini, Mamacc taw",2
Navajo,Total,136
Navajo,"Navako, Navaho, Dine",135
Navajo,Ramah Navajo,1
Nez Perce,Total,15
Nez Perce,Nez Perce,3
Nez Perce,"Nez Perce, Idaho",12
Northern Arapaho,Total,3
Northern Arapaho,"Northern Arapaho from Wind River, Wyoming",3
Northern Cheyenne,Total,3
Northern Cheyenne,"Northern Cheyenne, Montana",3
"Ojibwe, Ottawa, Potawatomi",Total,51
"Ojibwe, Ottawa, Potawatomi","Bad River Band, Lake Superior Chippewa, Odanah",1
"Ojibwe, Ottawa, Potawatomi","Bois Forte Band Chippewa, Nett Lake, Minnesota",1
"Ojibwe, Ottawa, Potawatomi",Chippewa,15
"Ojibwe, Ottawa, Potawatomi",Forest County Potawatomi,1
"Ojibwe, Ottawa, Potawatomi","Lac du Flambeau Band, Lake Superior Chippewa",4
"Ojibwe, Ottawa, Potawatomi","Leech Lake Band Chippewa, Minnesota",1
"Ojibwe, Ottawa, Potawatomi",Michigan Chippewa,1
"Ojibwe, Ottawa, Potawatomi",Minnesota Chippewa,3
"Ojibwe, Ottawa, Potawatomi","Ottawa, Odawa, Odaawaa",2
"Ojibwe, Ottawa, Potawatomi","Potawatomi, Potawatomie, Pottawatomie, Potowatomi",5
"Ojibwe, Ottawa, Potawatomi","Red Lake Band of Chippewa, Minnesota",6
"Ojibwe, Ottawa, Potawatomi",Turtle Mountain Band of Chippewa,13
Omaha,Total,2
Omaha,Omaha,2
Oneida,Total,8
Oneida,Oneida,8
Oneida,"Oneida, Wisconsin",1
Other,Total,6
Other,Chicago,1
Other,Digger Indian,5
Other Tribes - Eastern,Total,1
Other Tribes - Eastern,"Catawba, Issa, Essa- Iswa",1
Other Tribes - Northwest,Total,1
Other Tribes - Northwest,Umpqua,1
Other Tribes - Pacific,Total,9
Other Tribes - Pacific,Karuk,1
Other Tribes - Pacific,Luiseno,1
Other Tribes - Pacific,"Mission Indians, California",4
Other Tribes - Pacific,"Quartz Valley, Klamath, Karuk, Shasta",3
Other Tribes - Pacific,"Tolowa Dee-ni', Smith River",1
Other Tribes - Western,Total,13
Other Tribes - Western,"Havasupai, Yava Supai",1
Other Tribes - Western,Hualapai,2
Other Tribes - Western,"Mohave, Mojave",5
Other Tribes - Western,"Quechan, Yuma",3
Other Tribes - Western,"Washoe, Washo",2
"Paiute, Shoshone, Bannock",Total,42
"Paiute, Shoshone, Bannock","Bannock, Northern Paiute",1
"Paiute, Shoshone, Bannock","Eastern Shoshone from Wind River, Wyoming",3
"Paiute, Shoshone, Bannock",Kaibab Band of Paiute,1
"Paiute, Shoshone, Bannock",Paiute Shoshone,1
"Paiute, Shoshone, Bannock","Paiute, Pi-Ute",15
"Paiute, Shoshone, Bannock","Shlvwits Band of Patute, Sheblts, Utah",1
"Paiute, Shoshone, Bannock",Shoshone Bannock,2
"Paiute, Shoshone, Bannock","Shoshone, Shoshoni, Snake",17
"Paiute, Shoshone, Bannock","Shoshone, Te-Moak, Elko Colony",2
Pawnee,Total,6
Pawnee,Pawnee,6
"Peoria, Miami, Illinois Confederacy",Total,1
